﻿Nom du festival;Région principale de déroulement;Département principal de déroulement;Commune principale de déroulement;Code postal;Site internet du festival;Adresse e-mail;Décennie de création du festival;Année de création du festival;Discipline dominante;Période principale de déroulement du festival;Géocodage xy
Charivarues;Île-de-France;Val-de-Marne;Cachan;94016;http://www.theatrejacquescarat.fr/;;2010 et après;2015;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);48.7916121646, 2.33153313164
DO DISTURB;Île-de-France;Paris;Paris;75056;http://www.palaisdetokyo.com;;2010 et après;2015;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);48.8603987604, 2.2620995594
Loud & Proud;Île-de-France;Paris;Paris;75056;https://gaite-lyrique.net;;2010 et après;2015;Musique;Saison (21 juin - 5 septembre);48.8567, 2.3508
Rendez-vous de l’Histoire de l'institut du monde arabe;Île-de-France;Paris;Paris;75056;www.imarabe.org;;2010 et après;2015;Livre, littérature;Avant-saison (1er janvier - 20 juin);48.8567, 2.3508
Skank My Fest;Île-de-France;Val-de-Marne;Vitry-sur-Seine;94081;http://www.ressourcerieduspectacle.fr/;;2010 et après;2015;Musique;Avant-saison (1er janvier - 20 juin);48.7882828307, 2.39412680533
Des Notes et des Toiles;Grand Est;Meurthe-et-Moselle;Pont-à-Mousson;54431;www.desnotesetdestoiles.fr;associnellipse@gmail.com;2010 et après;2015;Musique;Après-saison (6 septembre - 31 décembre);48.9219828048, 6.05392690748
Des îles et des livres;Grand Est;Marne;Reims;51454;https://festival-interbibly.com/;contact@interbibly.fr;2010 et après;2014;Livre, littérature;Après-saison (6 septembre - 31 décembre);49.2514906066, 4.0402302322
Gérardm'Electric;Grand Est;Vosges;Gérardmer;88196;http://mclgerardmer.fr/;contact@mclgerardmer.fr;2010 et après;2014;Musique;Avant-saison (1er janvier - 20 juin);48.0653057669, 6.85912240068
Festival de l'Astre;Île-de-France;Paris;Paris;75056;http://cie-astre.com/;;2010 et après;2014;Spectacle vivant;Avant-saison (1er janvier - 20 juin);48.8927350746, 2.34871193387
Marché de la poésie jeunesse;Grand Est;Marne;Tinqueux;51573;https://www.danslalune.org/;contact@danslalune.org;2010 et après;2014;Livre, littérature;Avant-saison (1er janvier - 20 juin);49.2496666793, 3.98795391117
Sapins Barbus;Grand Est;Vosges;Dommartin-lès-Remiremont;88148;https://www.sapinsbarbus.com;;2010 et après;2014;Musique;Saison (21 juin - 5 septembre);47.99107923, 6.6482307377
Fragments;Île-de-France;Paris;Paris;75056;https://www.lalogeparis.fr/festival/#fragments;;2010 et après;2013;Spectacle vivant;Après-saison (6 septembre - 31 décembre);48.8594154976, 2.37874106024
Rock 'N' Roll Train Festival;Grand Est;Meurthe-et-Moselle;Longwy;54323;http://www.rnr-train.fr/;v.tod54@gmail.com;2010 et après;2013;Musique;Saison (21 juin - 5 septembre);49.5214021779, 5.76638370702
Aurores Montréal;Île-de-France;Paris;Paris;75056;https://www.oocto.com;;2010 et après;2013;Musique;Après-saison (6 septembre - 31 décembre);48.8725272666, 2.31258256042
WorldStock;Île-de-France;Paris;Paris;75056;;;2010 et après;2013;Musique;Après-saison (6 septembre - 31 décembre);48.8567, 2.3508
Les Vagamondes;Grand Est;Haut-Rhin;Mulhouse;68224;www.lafilature.org;Benoit.Andre@lafilature.org;2010 et après;2013;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);47.749163303, 7.32570047509
Winter Camp Festival;Île-de-France;Paris;Paris;75056;http://www.wintercampfestival.fr/;;2010 et après;2013;Musique;Après-saison (6 septembre - 31 décembre);48.8567, 2.3508
Festival Sans Nom;Grand Est;Haut-Rhin;Mulhouse;68224;http://www.festival-sans-nom.fr/;;2010 et après;2013;Livre, littérature;Après-saison (6 septembre - 31 décembre);47.749163303, 7.32570047509
Mennecy Metal Fest;Île-de-France;Essonne;Mennecy;91386;www.mennecy.fr/Mennecy-Metal-Fest-930#.W2RizdUzYdU;;2010 et après;2012;Musique;Après-saison (6 septembre - 31 décembre);48.5586242184, 2.43753236038
Les Rares Talents;Île-de-France;Seine-Saint-Denis;Montreuil;93048;www.rarestalents.com;;2010 et après;2012;Musique;Avant-saison (1er janvier - 20 juin);48.8633175054, 2.44816211857
Crak;Île-de-France;Paris;Paris;75056;www.crakfestival.com;;2010 et après;2012;Musique;Après-saison (6 septembre - 31 décembre);48.854228282, 2.35736193814
Ind'Hip'Hop;Grand Est;Bas-Rhin;Strasbourg;67482;https://hiphopinfosfrance.com;;2010 et après;2012;Musique;Avant-saison (1er janvier - 20 juin);48.5712679849, 7.76752679517
Livry All Jazz'n Blues;Île-de-France;Seine-Saint-Denis;Livry-Gargan;93046;www.livry-gargan.fr;;2010 et après;2012;Musique;Avant-saison (1er janvier - 20 juin);48.9197633213, 2.53486592332
Fédéchansons;Île-de-France;Yvelines;Saint-Germain-en-Laye;78551;www.fedechansons.fr;;2010 et après;2012;Musique;Après-saison (6 septembre - 31 décembre);48.9407041394, 2.09870929375
Paris des Femmes;Île-de-France;Paris;Paris;75056;www.parisdesfemmes.com;;2010 et après;2012;Spectacle vivant;Avant-saison (1er janvier - 20 juin);48.8679033789, 2.34410716666
Pitchfork Music Festival;Île-de-France;Paris;Paris;75056;www.pitchforkmusicfestival.fr/;;2010 et après;2011;Musique;Après-saison (6 septembre - 31 décembre);48.886868623, 2.38469432787
Clap Your Hands;Île-de-France;Paris;Paris;75056;www.cafedeladanse.com;;2010 et après;2011;Musique;Avant-saison (1er janvier - 20 juin);48.8567, 2.3508
Ai que Bom;Île-de-France;Paris;Paris;75056;www.aiquebom.com;;De 1990 à 1999;2011;Musique;Avant-saison (1er janvier - 20 juin);48.8631867774, 2.40081982673
Rencontres philosophiques de Langres;Grand Est;Haute-Marne;Langres;52269;www.rencontresphilosophiqueslangres.fr;forumdiderotlangres@gmail.com;2010 et après;2011;Livre, littérature;Avant-saison (1er janvier - 20 juin);47.8591544821, 5.33880466821
Foud'Rock;Île-de-France;Yvelines;Magny-les-Hameaux;78356;www.foudrock.fr;;2010 et après;2011;Musique;Après-saison (6 septembre - 31 décembre);48.7410207273, 2.0519793397
SoBD - Salon de la Bande Dessinée;Île-de-France;Paris;Paris;75056;www.sobd.fr;;2010 et après;2011;Livre, littérature;Après-saison (6 septembre - 31 décembre);48.854228282, 2.35736193814
VOX;Île-de-France;Seine-Saint-Denis;Montreuil;93048;http://www.festivalvox.com/;;2010 et après;2011;Livre, littérature;Saison (21 juin - 5 septembre);48.8633175054, 2.44816211857
Beermageddon Fest;Île-de-France;Yvelines;Magny-les-Hameaux;78356;www.battlesbeer.org;;2010 et après;2011;Musique;Après-saison (6 septembre - 31 décembre);48.7410207273, 2.0519793397
L’Inde des livres;Île-de-France;Paris;Paris;75056;www.comptoirsinde.org;;2010 et après;2011;Livre, littérature;Après-saison (6 septembre - 31 décembre);48.8631867774, 2.40081982673
Jazz Métis;Île-de-France;Seine-Saint-Denis;Montreuil;93048;https://festivaljazzmetis.wordpress.com;;2010 et après;2011;Musique;Après-saison (6 septembre - 31 décembre);48.8633175054, 2.44816211857
MyFrenchFilmFestival;Île-de-France;Paris;Paris;75056;https://www.myfrenchfilmfestival.com/fr/;;2010 et après;2011;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);48.8768961624, 2.33746024139
Fnac Live;Île-de-France;Paris;Paris;75056;www.fnaclive.com;;2010 et après;2011;Livre, littérature;Saison (21 juin - 5 septembre);48.8289932116, 2.32710088326
Fresne(S) Zik;Île-de-France;Val-de-Marne;Fresnes;94034;http://mjcdefresnes.free.fr/;;2010 et après;2010;Musique;Avant-saison (1er janvier - 20 juin);48.7571343016, 2.32612839743
Swingin Paris;Île-de-France;Paris;Paris;75056;https://www.swingin-paris.com/;;2010 et après;2010;Spectacle vivant;Après-saison (6 septembre - 31 décembre);48.8768961624, 2.33746024139
Salon Livre à part;Île-de-France;Val-de-Marne;Saint-Mandé;94067;https://www.mairie-saint-mande.fr/;;2010 et après;2010;Livre, littérature;Avant-saison (1er janvier - 20 juin);48.842440243, 2.4192191088
La Ferme Electrique;Île-de-France;Seine-et-Marne;Tournan-en-Brie;77470;http://www.la-ferme-electrique.fr/;;2010 et après;2010;Musique;Saison (21 juin - 5 septembre);48.739865817, 2.77820566994
Days Off;Île-de-France;Paris;Paris;75056;www.daysoff.fr;;2010 et après;2010;Musique;Saison (21 juin - 5 septembre);48.886868623, 2.38469432787
Blues au 13;Île-de-France;Paris;Paris;75056;http://www.theatre13.com;;2010 et après;2010;Musique;;48.8287176845, 2.36246822852
MaMA;Île-de-France;Paris;Paris;75056;www.mamafestival.com;;De 2000 à 2009;2009;Musique;Après-saison (6 septembre - 31 décembre);48.886868623, 2.38469432787
Décalages;Grand Est;Bas-Rhin;Strasbourg;67482;http://www.scenes-du-nord.fr/;communication@scenes-du-nord.fr;De 2000 à 2009;2009;Spectacle vivant;Avant-saison (1er janvier - 20 juin);48.5712679849, 7.76752679517
Heaven's Door;Grand Est;Bas-Rhin;Eckbolsheim;67118;www.heavensdoor.fr;contact@heavensdoor.fr;De 2000 à 2009;2009;Musique;Après-saison (6 septembre - 31 décembre);48.5790053064, 7.68216295597
Orchestres en fête;Île-de-France;Paris;Paris;75056;www.orchestresenfete.com;;De 2000 à 2009;2009;Musique;Après-saison (6 septembre - 31 décembre);48.8760285569, 2.36111290456
L'Oreille Absolue fait son cirque;Grand Est;Haut-Rhin;Michelbach-le-Haut;68208;www.loreilleabsoluefaitsoncirque.fr;;De 2000 à 2009;2009;Spectacle vivant;Avant-saison (1er janvier - 20 juin);47.5627694258, 7.43780573745
Lâcher d'Artistes;Île-de-France;Paris;Paris;75056;http://www.manufacturechanson.org;;De 2000 à 2009;2009;Musique;Avant-saison (1er janvier - 20 juin);48.8567, 2.3508
Eldorado Music Festival;Île-de-France;Paris;Paris;75056;http://www.cafedeladanse.com;;De 2000 à 2009;2009;Musique;Après-saison (6 septembre - 31 décembre);48.8567, 2.3508
Fair : le tour;Île-de-France;Paris;Paris;75056;http://lefair.org;;De 2000 à 2009;2009;Musique;Avant-saison (1er janvier - 20 juin);48.8567, 2.3508
Le festival Les AnthropoScènes;Normandie;Eure;Evreux;27229;https://www.letangram.com/;julien.bourguignon@letangram.com;2010 et après;2022;Spectacle vivant;Avant-saison (1er janvier - 20 juin);49.02015421, 1.14164412464
Sériège jazz festival;Occitanie;Hérault;Cruzy;34092;https://www.seriegejazzfestival.com/;contact@seriegejazzfestival.com;2010 et après;2022;Musique;Saison (21 juin - 5 septembre);43.3518501139, 2.93451082669
Equinocci;Occitanie;Tarn;Albi;81004;http://www.albioccitana.org/fr/espelida/espelida-2019-20.html;secretariatalbioccitana@gamil.com;2010 et après;2022;Spectacle vivant;Après-saison (6 septembre - 31 décembre);43.9258213622, 2.14686328555
Festival Argentique;Normandie;Calvados;Saint-Aubin-sur-Mer;14562;https://saintaubinsurmer.fr/festival-argentique-edition-2021/;;2010 et après;2021;Arts visuels, arts numériques;Saison (21 juin - 5 septembre);49.3224328819, -0.39282763592
Corsica madness;Corse;Corse-du-Sud;Ajaccio;2A004;;;2010 et après;2021;Musique;Avant-saison (1er janvier - 20 juin);41.9347926638, 8.70132275974
Bleue;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Marseille;13055;www.bleue-festival.org;anne.guiot@karwan.fr;2010 et après;2021;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);43.296346, 5.369889
Le Murmure du monde;Occitanie;Hautes-Pyrénées;Arras-en-Lavedan;65029;https://lemurmuredumonde.com/;bonjour@lemurmuredumonde.com;2010 et après;2021;Livre, littérature;avant-saison (1er janvier - 20 juin);42.9675038855, -0.143830716437
Festival Une salle sous les étoiles;Occitanie;Gard;Nîmes;30189;https://www.unesallesouslesetoiles.fr/;unesallesouslesetoiles@gmail.com;2010 et après;2021;Cinéma, audiovisuel;Saison (21 juin - 5 septembre);43.844938394, 4.34806796996
Au large festival;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Marseille;13055;www.aulargefestival.com;la.meson.marseille@gmail.com;2010 et après;2021;Musique;Saison (21 juin - 5 septembre);43.296346, 5.369889
Maison des arts en balade;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Cabriès;13019;lefunnumusical.com;lefunnymusical@gmail.com;2010 et après;2021;Spectacle vivant;Saison (21 juin - 5 septembre);43.4496421919, 5.34976663984
Festival L'appel du large;Normandie;Calvados;Deauville;14220;https://www.indeauville.fr/lappel-du-large;;2010 et après;2021;Arts visuels, arts numériques;Saison (21 juin - 5 septembre);49.3543800887, 0.0744665786308
L'Été essentiel;Centre-Val de Loire;Loiret;Orléans;45234;https://www.orleans-metropole.fr/lagenda/detail/evenement/lete-essentiel/47449885?cHash=4e454c8f3df71df8eaba5309a4eeb156;;2010 et après;2021;Spectacle vivant;Avant-saison (1er janvier - 20 juin);47.8828634214, 1.91610357477
Sacrée Musique !;Provence-Alpes-Côte d'Azur;Var;Saint-Tropez;83119;https://sacreemusique.fr/;;2010 et après;2021;Musique;Après-saison (6 septembre - 31 décembre);43.262314383, 6.66343039908
Festival Orgue et cinéma;Occitanie;aveyron;Entraygues-sur-Truyère;12094;https://www.centrepresseaveyron.fr/2021/10/06/orgue-et-cinema-un-premier-festival-de-qualite-9835162.php;rencontremusicale.entraygues@gmail.com;2010 et après;2021;Spectacle vivant;Après-saison (6 septembre - 31 décembre);44.6544227279, 2.57843798744
Graines de Paroles 2-5 ans;Martinique;Martinique;Fort-de-France;97209;https://www.associationmartiniqueimages.com;association.martinique.images@gmail.com;2010 et après;2021;Spectacle vivant;Avant-saison (1er janvier - 20 juin);14.6411114389, -61.0691889244
Castelpop;Provence-Alpes-Côte d'Azur;Var;Hyères;83069;https://castelpop.fr;;2010 et après;2021;Musique;Saison (21 juin - 5 septembre);43.1018713534, 6.18898508469
Festival d'été : Briançon sous les étoiles;Provence-Alpes-Côte d'Azur;Hautes-Alpes;Briançon;5023;http://www.ville-briancon.fr/evenements-phares;raphaelfaure05@gmail.com;2010 et après;2021;Musique;Saison (21 juin - 5 septembre);44.8994986041, 6.64947524018
Rencontres poétiques;Hauts-de-France;Aisne;Château-Thierry;2168;http://www.chateau-thierry.fr;claire.dubourg@ville-chateau-thierry.fr;2010 et après;2021;Livre, littérature;Avant-saison (1er janvier - 20 juin);49.0564070801, 3.38160004843
Jours de fête;Normandie;Seine-Maritime;Rouen;76540;www.metropole-rouen-normandie.fr;laurent.patole@metropole-rouen-normandie.fr;2010 et après;2021;Spectacle vivant;Saison (21 juin - 5 septembre);49.4413460103, 1.09256784278
Côté cour;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Aix-en-Provence;13001;www.festivalcotecour.fr;contact@tanghost.fr;2010 et après;2021;Musique;Saison (21 juin - 5 septembre);43.5360708378, 5.39857444582
Caravan'Square;Hauts-de-France;Nord;Neuville en Ferrain;59426;www.neuville-en-ferrain.fr;fmagnier@neuville-en-ferrain.fr;2010 et après;2021;Musique;Saison (21 juin - 5 septembre);50.7533162393, 3.15977251104
Les fêtes des quatre saisons;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Fontvieille;13038;http://www.fd4s.org;;2010 et après;2021;Musique;Saison (21 juin - 5 septembre);43.7232610704, 4.72310168882
Jazz O Parc;Occitanie;Gard;Boisset-Et-Gaujac;30042;https://jazzoparc.com/edition-2021/;couretphilippe@gmail.com;2010 et après;2021;Musique;Saison (21 juin - 5 septembre);44.0479381794, 4.02713622056
Chapimôme;Centre-Val de Loire;Loiret;Baule;45024;https://www.facebook.com/embouchure.baule.9/;contact@lembouchure.org;2010 et après;2021;Pluridisciplinaire;Après-saison (6 septembre - 31 décembre);47.8106703162, 1.66824027351
La Chartreuse du Liget en Musiques Hier & Aujourd'hui;Centre-Val de Loire;Indre-et-Loire;Chemillé-sur-Indrois;37069;https://www.lachartreuseduligetenmusiques.comom/;festivalchartreuseduliget@gmail.com;2010 et après;2021;Musique;Saison (21 juin - 5 septembre);47.1535504221, 1.15871292042
L'Offrande Musicale;Occitanie;Hautes-Pyrénées;Barbazan-Debat;65062;https://loffrandemusicale.fr;contact@loffrandemusicale.fr;2010 et après;2021;Musique;Saison (21 juin - 5 septembre);43.201851966, 0.129955186604
BAANG! Festival;Normandie;Calvados;Caen;14118;https://www.baangfestival.org;baangfestival@gmail.com;2010 et après;2021;Arts visuels, arts numériques;Après-saison (6 septembre - 31 décembre);49.1847936737, -0.369801713036
Au-delà des écrans;Occitanie;Gard;Nîmes;30189;https://www.festival-audeladelecran.com/;festival@mda30.com;2010 et après;2021;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);43.844938394, 4.34806796996
Festival de danse à Saint-Hilaire-d’Ozilhan;Occitanie;Gard;Saint-Hilaire-d'Ozilhan;30260;https://www.helloasso.com/associations/seconde-parallele/collectes/soutenez-la-creation-de-saint-hilaire-danse-du-27-au-31-juillet-2021/;secondeparallele@gmail.com;2010 et après;2021;Spectacle vivant;Saison (21 juin - 5 septembre);43.9723003096, 4.59999456727
